"thread_title";"thread_title_link";"author";"replies";"views";"lastuser";"lastuser_link";"lastpost_link";"lastpost_datetime"
"How long does it take?";"http://www.cancerforums.net/threads/35192-How-long-does-it-take";"Bravehardon";3;1;"bigbrad2008";"http://www.cancerforums.net/members/106810-bigbrad2008";"http://www.cancerforums.net/threads/35192-How-long-does-it-take?p=216000#post216000";"11-30-2013, 06:06 PM"
"How long does my father have to live?";"http://www.cancerforums.net/threads/24362-How-long-does-my-father-have-to-live";"lizm1616";3;3;"Putt";"http://www.cancerforums.net/members/17267-Putt";"http://www.cancerforums.net/threads/24362-How-long-does-my-father-have-to-live?p=138322#post138322";"07-24-2012, 06:24 PM"
"How long does nerve regeneration take?";"http://www.cancerforums.net/threads/29469-How-long-does-nerve-regeneration-take";"dickmets";3;2;"mkane09";"http://www.cancerforums.net/members/13703-mkane09";"http://www.cancerforums.net/threads/29469-How-long-does-nerve-regeneration-take?p=173077#post173077";"02-16-2013, 02:59 AM"
"How long does the suffering last?";"http://www.cancerforums.net/threads/15485-How-long-does-the-suffering-last";"tomthebuilder";5;4;"Fairwind";"http://www.cancerforums.net/members/20405-Fairwind";"http://www.cancerforums.net/threads/15485-How-long-does-the-suffering-last?p=81260#post81260";"01-21-2011, 05:11 PM"
"How long is surgery?";"http://www.cancerforums.net/threads/34553-How-long-is-surgery";"September";19;3;"Flkjr";"http://www.cancerforums.net/members/104477-Flkjr";"http://www.cancerforums.net/threads/34553-How-long-is-surgery?p=212195#post212195";"11-01-2013, 10:41 PM"
"How long is the actual surgery?";"http://www.cancerforums.net/threads/40735-How-long-is-the-actual-surgery";"mom2two";16;3;"smithwcnj";"http://www.cancerforums.net/members/112786-smithwcnj";"http://www.cancerforums.net/threads/40735-How-long-is-the-actual-surgery?p=253141#post253141";"09-18-2014, 11:30 PM"
"How long is too long?";"http://www.cancerforums.net/threads/40443-How-long-is-too-long";"Lawr";7;2;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/40443-How-long-is-too-long?p=250557#post250557";"08-24-2014, 05:41 PM"
"How long off work?";"http://www.cancerforums.net/threads/43519-How-long-off-work";"hopper";8;2;"goatts";"http://www.cancerforums.net/members/114524-goatts";"http://www.cancerforums.net/threads/43519-How-long-off-work?p=274947#post274947";"03-27-2015, 06:04 PM"
"How long should you wait to attempt sex after prostatectomy?";"http://www.cancerforums.net/threads/21681-How-long-should-you-wait-to-attempt-sex-after-prostatectomy";"Scott111";1;4;"mtsarpilot";"http://www.cancerforums.net/members/27561-mtsarpilot";"http://www.cancerforums.net/threads/21681-How-long-should-you-wait-to-attempt-sex-after-prostatectomy?p=120504#post120504";"02-20-2012, 02:31 AM"
"How Long till Continence Returns?";"http://www.cancerforums.net/threads/11767-How-Long-till-Continence-Returns";"Travelingman";10;6;"SPACER";"http://www.cancerforums.net/members/20023-SPACER";"http://www.cancerforums.net/threads/11767-How-Long-till-Continence-Returns?p=72424#post72424";"07-21-2010, 04:38 PM"
"How Many Angels Can Dance on the Edge of a Pin";"http://www.cancerforums.net/threads/48179-How-Many-Angels-Can-Dance-on-the-Edge-of-a-Pin";"Al_Kaholic";10;1;"Michael F";"http://www.cancerforums.net/members/109130-Michael-F";"http://www.cancerforums.net/threads/48179-How-Many-Angels-Can-Dance-on-the-Edge-of-a-Pin?p=311453#post311453";"06-14-2016, 12:23 PM"
"How many biopsies?";"http://www.cancerforums.net/threads/22211-How-many-biopsies";"F.J.";2;2;"F.J.";"http://www.cancerforums.net/members/30048-F-J";"http://www.cancerforums.net/threads/22211-How-many-biopsies?p=124047#post124047";"03-17-2012, 02:33 AM"
"How many here got a 2nd opinion";"http://www.cancerforums.net/threads/17979-How-many-here-got-a-2nd-opinion";"Skier";9;3;"mkane09";"http://www.cancerforums.net/members/13703-mkane09";"http://www.cancerforums.net/threads/17979-How-many-here-got-a-2nd-opinion?p=94965#post94965";"07-17-2011, 06:50 PM"
"How many of you had calcification?";"http://www.cancerforums.net/threads/43516-How-many-of-you-had-calcification";"goodlife307";5;1;"CPO2CWO";"http://www.cancerforums.net/members/107627-CPO2CWO";"http://www.cancerforums.net/threads/43516-How-many-of-you-had-calcification?p=274725#post274725";"03-25-2015, 04:45 PM"
"How much time did chemo buy you:";"http://www.cancerforums.net/threads/43753-How-much-time-did-chemo-buy-you";"living";7;4;"Bravehardon";"http://www.cancerforums.net/members/106840-Bravehardon";"http://www.cancerforums.net/threads/43753-How-much-time-did-chemo-buy-you?p=277366#post277366";"04-17-2015, 10:18 PM"
"How much water should I drink post op";"http://www.cancerforums.net/threads/42223-How-much-water-should-I-drink-post-op";"bomber";9;2;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/42223-How-much-water-should-I-drink-post-op?p=263913#post263913";"12-26-2014, 09:19 AM"
"How often does THIS happen ??";"http://www.cancerforums.net/threads/42693-How-often-does-THIS-happen";"Fairwind";4;1;"ASAdvocate";"http://www.cancerforums.net/members/113924-ASAdvocate";"http://www.cancerforums.net/threads/42693-How-often-does-THIS-happen?p=267648#post267648";"01-28-2015, 04:05 PM"
"How often Green Light surgery can be performed?";"http://www.cancerforums.net/threads/32021-How-often-Green-Light-surgery-can-be-performed";"sandymc";3;1;"lancepeace";"http://www.cancerforums.net/members/24104-lancepeace";"http://www.cancerforums.net/threads/32021-How-often-Green-Light-surgery-can-be-performed?p=192620#post192620";"06-24-2013, 01:44 PM"
"How painful is catheter removal?";"http://www.cancerforums.net/threads/41176-How-painful-is-catheter-removal";"mom2two";13;2;"Flkjr";"http://www.cancerforums.net/members/104477-Flkjr";"http://www.cancerforums.net/threads/41176-How-painful-is-catheter-removal?p=255649#post255649";"10-10-2014, 09:33 PM"
"How soon after RP would aduvant radiotherapy start?";"http://www.cancerforums.net/threads/31685-How-soon-after-RP-would-aduvant-radiotherapy-start";"Kazzie61";12;2;"mkane09";"http://www.cancerforums.net/members/13703-mkane09";"http://www.cancerforums.net/threads/31685-How-soon-after-RP-would-aduvant-radiotherapy-start?p=190523#post190523";"06-10-2013, 12:07 AM"
"How soon after surgery should I be starting viagra or cialis";"http://www.cancerforums.net/threads/46539-How-soon-after-surgery-should-I-be-starting-viagra-or-cialis";"Benny";7;1;"Benny J";"http://www.cancerforums.net/members/117868-Benny-J";"http://www.cancerforums.net/threads/46539-How-soon-after-surgery-should-I-be-starting-viagra-or-cialis?p=297734#post297734";"12-07-2015, 04:16 PM"
"How soon is too soon for sexual activity after prostatectomy?";"http://www.cancerforums.net/threads/45844-How-soon-is-too-soon-for-sexual-activity-after-prostatectomy";"Merc428";14;3;"Davis 928";"http://www.cancerforums.net/members/115888-Davis-928";"http://www.cancerforums.net/threads/45844-How-soon-is-too-soon-for-sexual-activity-after-prostatectomy?p=292669#post292669";"10-03-2015, 12:46 AM"
"How strange is this guys PCa situation....it's a first that I have heard about:";"http://www.cancerforums.net/threads/30085-How-strange-is-this-guys-PCa-situation-it-s-a-first-that-I-have-heard-about";"zufus";1;1;"mkane09";"http://www.cancerforums.net/members/13703-mkane09";"http://www.cancerforums.net/threads/30085-How-strange-is-this-guys-PCa-situation-it-s-a-first-that-I-have-heard-about?p=177873#post177873";"03-16-2013, 03:09 PM"
"How successful are hormone shots?";"http://www.cancerforums.net/threads/35541-How-successful-are-hormone-shots";"Bravehardon";7;2;"bigbrad2008";"http://www.cancerforums.net/members/106810-bigbrad2008";"http://www.cancerforums.net/threads/35541-How-successful-are-hormone-shots?p=218525#post218525";"12-19-2013, 08:41 PM"
"How to find the ""best"" urologist";"http://www.cancerforums.net/threads/8668-How-to-find-the-quot-best-quot-urologist";"calpalmer";5;3;"calpalmer";"http://www.cancerforums.net/members/15100-calpalmer";"http://www.cancerforums.net/threads/8668-How-to-find-the-quot-best-quot-urologist?p=44120#post44120";"03-11-2009, 10:44 PM"
"How to get a 2nd reading on a biopsy";"http://www.cancerforums.net/threads/34333-How-to-get-a-2nd-reading-on-a-biopsy";"Booo";4;1;"Haliday";"http://www.cancerforums.net/members/105860-Haliday";"http://www.cancerforums.net/threads/34333-How-to-get-a-2nd-reading-on-a-biopsy?p=209758#post209758";"10-16-2013, 04:01 AM"
"How to get insurance to pay for fusion guided biopsy?";"http://www.cancerforums.net/threads/42289-How-to-get-insurance-to-pay-for-fusion-guided-biopsy";"crescent";2;1;"Fairwind";"http://www.cancerforums.net/members/20405-Fairwind";"http://www.cancerforums.net/threads/42289-How-to-get-insurance-to-pay-for-fusion-guided-biopsy?p=264229#post264229";"12-30-2014, 01:53 AM"
"How to give support, what to expect and ask about Prostrate issues?";"http://www.cancerforums.net/threads/35942-How-to-give-support-what-to-expect-and-ask-about-Prostrate-issues";"Am232628";14;2;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/35942-How-to-give-support-what-to-expect-and-ask-about-Prostrate-issues?p=220947#post220947";"01-04-2014, 07:19 AM"
"how to interpret second opinion";"http://www.cancerforums.net/threads/33676-how-to-interpret-second-opinion";"Omegaman";1;1;"Fairwind";"http://www.cancerforums.net/members/20405-Fairwind";"http://www.cancerforums.net/threads/33676-how-to-interpret-second-opinion?p=205102#post205102";"09-12-2013, 01:36 PM"
"how to manage pain?";"http://www.cancerforums.net/threads/34364-how-to-manage-pain";"tajgood1";4;1;"Fairwind";"http://www.cancerforums.net/members/20405-Fairwind";"http://www.cancerforums.net/threads/34364-how-to-manage-pain?p=210077#post210077";"10-18-2013, 06:39 AM"
"How to reduce ED issues post brachytherapy 3+ years ago";"http://www.cancerforums.net/threads/32316-How-to-reduce-ED-issues-post-brachytherapy-3-years-ago";"bobisnext";2;1;"bobisnext";"http://www.cancerforums.net/members/18492-bobisnext";"http://www.cancerforums.net/threads/32316-How-to-reduce-ED-issues-post-brachytherapy-3-years-ago?p=195061#post195061";"07-10-2013, 12:13 PM"
"How to researh";"http://www.cancerforums.net/threads/42240-How-to-researh";"JMorris271";11;2;"njs";"http://www.cancerforums.net/members/104192-njs";"http://www.cancerforums.net/threads/42240-How-to-researh?p=264044#post264044";"12-27-2014, 05:31 PM"
"How to reverse LUPRON'S debilitating side effects - help!!";"http://www.cancerforums.net/threads/10364-How-to-reverse-LUPRON-S-debilitating-side-effects-help!!";"Lioness";5;22;"allisone";"http://www.cancerforums.net/members/26447-allisone";"http://www.cancerforums.net/threads/10364-How-to-reverse-LUPRON-S-debilitating-side-effects-help!!?p=100832#post100832";"09-13-2011, 05:56 PM"
"How to Save Your Sex Life: A guide for men with prostate ca";"http://www.cancerforums.net/threads/11887-How-to-Save-Your-Sex-Life-A-guide-for-men-with-prostate-ca";"BayouGal";3;3;"Hawk";"http://www.cancerforums.net/members/3518-Hawk";"http://www.cancerforums.net/threads/11887-How-to-Save-Your-Sex-Life-A-guide-for-men-with-prostate-ca?p=61860#post61860";"02-02-2010, 04:11 PM"
"how worried should i be??";"http://www.cancerforums.net/threads/22621-how-worried-should-i-be";"ronhall";5;4;"tonymanzara";"http://www.cancerforums.net/members/30179-tonymanzara";"http://www.cancerforums.net/threads/22621-how-worried-should-i-be?p=127026#post127026";"04-13-2012, 01:00 AM"
"How would a patient doublecheck whether or not biopsy is needed or overprescribed?";"http://www.cancerforums.net/threads/38326-How-would-a-patient-doublecheck-whether-or-not-biopsy-is-needed-or-overprescribed";"theszak";6;1;"ddayglo";"http://www.cancerforums.net/members/104661-ddayglo";"http://www.cancerforums.net/threads/38326-How-would-a-patient-doublecheck-whether-or-not-biopsy-is-needed-or-overprescribed?p=237398#post237398";"05-02-2014, 02:47 AM"
"Howdy Folks, New to the site with a few questions.";"http://www.cancerforums.net/threads/44160-Howdy-Folks-New-to-the-site-with-a-few-questions";"scwildman";4;1;"scwildman";"http://www.cancerforums.net/members/115867-scwildman";"http://www.cancerforums.net/threads/44160-Howdy-Folks-New-to-the-site-with-a-few-questions?p=280223#post280223";"05-17-2015, 12:46 PM"
"HRPCa, with mets, My dad... What to expect?";"http://www.cancerforums.net/threads/12768-HRPCa-with-mets-My-dad-What-to-expect";"BonnieD";1;2;"Replicant";"http://www.cancerforums.net/members/3361-Replicant";"http://www.cancerforums.net/threads/12768-HRPCa-with-mets-My-dad-What-to-expect?p=66624#post66624";"04-22-2010, 11:12 PM"
"HT Gremlins";"http://www.cancerforums.net/threads/34905-HT-Gremlins";"gearloose";29;6;"gearloose";"http://www.cancerforums.net/members/107088-gearloose";"http://www.cancerforums.net/threads/34905-HT-Gremlins?p=217847#post217847";"12-14-2013, 09:17 AM"
"HT Holiday Over";"http://www.cancerforums.net/threads/46927-HT-Holiday-Over";"Haliday";1;847;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/46927-HT-Holiday-Over?p=300864#post300864";"01-18-2016, 07:32 AM"
"HT while awaiting surgery...flu like side effects?";"http://www.cancerforums.net/threads/46451-HT-while-awaiting-surgery-flu-like-side-effects";"Samie";2;968;"Fairwind";"http://www.cancerforums.net/members/20405-Fairwind";"http://www.cancerforums.net/threads/46451-HT-while-awaiting-surgery-flu-like-side-effects?p=296807#post296807";"11-23-2015, 05:20 AM"
"Hubby is on the other side of surgery!";"http://www.cancerforums.net/threads/38284-Hubby-is-on-the-other-side-of-surgery!";"d5holmes";7;1;"shu246";"http://www.cancerforums.net/members/106140-shu246";"http://www.cancerforums.net/threads/38284-Hubby-is-on-the-other-side-of-surgery!?p=237217#post237217";"04-30-2014, 09:47 PM"
"Huge PSA Spike?!?";"http://www.cancerforums.net/threads/29099-Huge-PSA-Spike-!";"Clay";3;2;"Fairwind";"http://www.cancerforums.net/members/20405-Fairwind";"http://www.cancerforums.net/threads/29099-Huge-PSA-Spike-!?p=170209#post170209";"02-01-2013, 10:28 PM"
"human kallikrein 2";"http://www.cancerforums.net/threads/41060-human-kallikrein-2";"Tedr";0;680;"Tedr";"http://www.cancerforums.net/members/112853-Tedr";"http://www.cancerforums.net/threads/41060-human-kallikrein-2?p=254624#post254624";"10-01-2014, 10:57 PM"
"Human retrovirus found in prostate cancer - anyone following this?";"http://www.cancerforums.net/threads/15203-Human-retrovirus-found-in-prostate-cancer-anyone-following-this";"HMRV";11;4;"HMRV";"http://www.cancerforums.net/members/22254-HMRV";"http://www.cancerforums.net/threads/15203-Human-retrovirus-found-in-prostate-cancer-anyone-following-this?p=84861#post84861";"03-10-2011, 11:35 PM"
"Husband 40 scheduled biopsy 10/28";"http://www.cancerforums.net/threads/46114-Husband-40-scheduled-biopsy-10-28";"wifeofT";38;7;"wifeofT";"http://www.cancerforums.net/members/117565-wifeofT";"http://www.cancerforums.net/threads/46114-Husband-40-scheduled-biopsy-10-28?p=295467#post295467";"11-05-2015, 03:58 AM"
"husband 48 just diagnosed - info needed please";"http://www.cancerforums.net/threads/27136-husband-48-just-diagnosed-info-needed-please";"Philaguy";7;1;"Fairwind";"http://www.cancerforums.net/members/20405-Fairwind";"http://www.cancerforums.net/threads/27136-husband-48-just-diagnosed-info-needed-please?p=158949#post158949";"12-06-2012, 02:21 AM"
"Husband diagnose with prostate cancer...";"http://www.cancerforums.net/threads/36178-Husband-diagnose-with-prostate-cancer";"Eskafy";23;6;"Walnut";"http://www.cancerforums.net/members/106757-Walnut";"http://www.cancerforums.net/threads/36178-Husband-diagnose-with-prostate-cancer?p=224566#post224566";"01-30-2014, 09:48 PM"
"Husband getting ready to go through Xofigo, anyone out there thats been through it??";"http://www.cancerforums.net/threads/47983-Husband-getting-ready-to-go-through-Xofigo-anyone-out-there-thats-been-through-it";"WifeinWorry";0;423;"WifeinWorry";"http://www.cancerforums.net/members/114290-WifeinWorry";"http://www.cancerforums.net/threads/47983-Husband-getting-ready-to-go-through-Xofigo-anyone-out-there-thats-been-through-it?p=309301#post309301";"05-16-2016, 06:57 PM"
"Husband had DaVinci 1/5/16";"http://www.cancerforums.net/threads/46814-Husband-had-DaVinci-1-5-16";"wifeofT";5;1;"Wilde";"http://www.cancerforums.net/members/113837-Wilde";"http://www.cancerforums.net/threads/46814-Husband-had-DaVinci-1-5-16?p=300056#post300056";"01-09-2016, 08:59 AM"
"husband in i c u";"http://www.cancerforums.net/threads/18683-husband-in-i-c-u";"Christine9";1;2;"waffler";"http://www.cancerforums.net/members/26249-waffler";"http://www.cancerforums.net/threads/18683-husband-in-i-c-u?p=99287#post99287";"08-28-2011, 11:19 PM"
"Husband is Gleason 8 with skeletal metastases";"http://www.cancerforums.net/threads/37305-Husband-is-Gleason-8-with-skeletal-metastases";"SoMd";12;3;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/37305-Husband-is-Gleason-8-with-skeletal-metastases?p=231128#post231128";"03-18-2014, 07:56 PM"
"Husband is post robotic surgery, pathology report not so good";"http://www.cancerforums.net/threads/27328-Husband-is-post-robotic-surgery-pathology-report-not-so-good";"FredS";9;5;"FredS";"http://www.cancerforums.net/members/59879-FredS";"http://www.cancerforums.net/threads/27328-Husband-is-post-robotic-surgery-pathology-report-not-so-good?p=160395#post160395";"12-12-2012, 05:56 PM"
"Husband Just Diagnosed";"http://www.cancerforums.net/threads/41550-Husband-Just-Diagnosed";"northrancher";57;13;"northrancher";"http://www.cancerforums.net/members/113430-northrancher";"http://www.cancerforums.net/threads/41550-Husband-Just-Diagnosed?p=268473#post268473";"02-04-2015, 09:36 PM"
"Husband just diagnosed with Advanced PC";"http://www.cancerforums.net/threads/27811-Husband-just-diagnosed-with-Advanced-PC";"hope4myhusband";10;3;"fasteddie";"http://www.cancerforums.net/members/29939-fasteddie";"http://www.cancerforums.net/threads/27811-Husband-just-diagnosed-with-Advanced-PC?p=162462#post162462";"12-23-2012, 03:18 AM"
"Husband just diagnosed-I'm terrified. Please advise if you can";"http://www.cancerforums.net/threads/29746-Husband-just-diagnosed-I-m-terrified-Please-advise-if-you-can";"Kazzie61";20;8;"recentlydiagnosed56";"http://www.cancerforums.net/members/102835-recentlydiagnosed56";"http://www.cancerforums.net/threads/29746-Husband-just-diagnosed-I-m-terrified-Please-advise-if-you-can?p=183118#post183118";"04-17-2013, 07:26 PM"
"Husband newly diagnosed & a couple of pathology report questions";"http://www.cancerforums.net/threads/13910-Husband-newly-diagnosed-amp-a-couple-of-pathology-report-questions";"pipedream";2;3;"pipedream";"http://www.cancerforums.net/members/20975-pipedream";"http://www.cancerforums.net/threads/13910-Husband-newly-diagnosed-amp-a-couple-of-pathology-report-questions?p=72993#post72993";"07-30-2010, 03:01 AM"
"Husband newly diagnosed psa > 2000";"http://www.cancerforums.net/threads/13287-Husband-newly-diagnosed-psa-gt-2000";"clr";6;12;"clr";"http://www.cancerforums.net/members/20417-clr";"http://www.cancerforums.net/threads/13287-Husband-newly-diagnosed-psa-gt-2000?p=69736#post69736";"06-14-2010, 01:47 AM"
"Husband newly diagnosed with Prostate Cancer";"http://www.cancerforums.net/threads/13397-Husband-newly-diagnosed-with-Prostate-Cancer";"artsy897";10;6;"Fairwind";"http://www.cancerforums.net/members/20405-Fairwind";"http://www.cancerforums.net/threads/13397-Husband-newly-diagnosed-with-Prostate-Cancer?p=70643#post70643";"06-26-2010, 05:03 AM"
"Husband now a Member of the Club";"http://www.cancerforums.net/threads/43376-Husband-now-a-Member-of-the-Club";"pjr";4;1;"Southsider";"http://www.cancerforums.net/members/114410-Southsider";"http://www.cancerforums.net/threads/43376-Husband-now-a-Member-of-the-Club?p=273284#post273284";"03-13-2015, 01:11 AM"
"Husband PSA 177";"http://www.cancerforums.net/threads/22703-Husband-PSA-177";"DebbieMH";50;20;"DebbieMH";"http://www.cancerforums.net/members/30738-DebbieMH";"http://www.cancerforums.net/threads/22703-Husband-PSA-177?p=138434#post138434";"07-25-2012, 07:44 PM"
"Husband recently diagnosed";"http://www.cancerforums.net/threads/46142-Husband-recently-diagnosed";"ourtime";25;4;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/46142-Husband-recently-diagnosed?p=294525#post294525";"10-23-2015, 06:41 AM"
"Husband with Gleason 9 at age 48";"http://www.cancerforums.net/threads/35060-Husband-with-Gleason-9-at-age-48";"San635";9;3;"rhome";"http://www.cancerforums.net/members/20496-rhome";"http://www.cancerforums.net/threads/35060-Husband-with-Gleason-9-at-age-48?p=215749#post215749";"11-28-2013, 01:16 AM"
"Husband's biopsy done yesterday";"http://www.cancerforums.net/threads/36825-Husband-s-biopsy-done-yesterday";"TexanWife";5;1;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/36825-Husband-s-biopsy-done-yesterday?p=226771#post226771";"02-16-2014, 03:32 AM"
"Husband's PSA doubling quickly -HIFU question";"http://www.cancerforums.net/threads/9572-Husband-s-PSA-doubling-quickly-HIFU-question";"Wife";8;3;"Wife Amy";"http://www.cancerforums.net/members/16869-Wife-Amy";"http://www.cancerforums.net/threads/9572-Husband-s-PSA-doubling-quickly-HIFU-question?p=48897#post48897";"06-29-2009, 07:38 PM"
"Husband's surgery";"http://www.cancerforums.net/threads/15442-Husband-s-surgery";"deena2288";3;2;"Fairwind";"http://www.cancerforums.net/members/20405-Fairwind";"http://www.cancerforums.net/threads/15442-Husband-s-surgery?p=80898#post80898";"01-15-2011, 06:15 PM"
"Husband, probable high PSA/wasn't";"http://www.cancerforums.net/threads/32230-Husband-probable-high-PSA-wasn-t";"Didee";18;4;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/32230-Husband-probable-high-PSA-wasn-t?p=195026#post195026";"07-10-2013, 03:51 AM"
"Husbands first PSA after Seed Implant";"http://www.cancerforums.net/threads/15320-Husbands-first-PSA-after-Seed-Implant";"artsy897";5;4;"artsy897";"http://www.cancerforums.net/members/20539-artsy897";"http://www.cancerforums.net/threads/15320-Husbands-first-PSA-after-Seed-Implant?p=80332#post80332";"01-03-2011, 05:45 PM"
"Husbands PSA undetectable!";"http://www.cancerforums.net/threads/49339-Husbands-PSA-undetectable!?s=7425222891ad50eb28bb980913228222";"VickieKay";4;344;"Michael F";"http://www.cancerforums.net/members/109130-Michael-F?s=7425222891ad50eb28bb980913228222";"http://www.cancerforums.net/threads/49339-Husbands-PSA-undetectable!?s=7425222891ad50eb28bb980913228222&p=321921#post321921";"11-08-2016, 02:43 AM"
"Husbands surgery tomorrow";"http://www.cancerforums.net/threads/36793-Husbands-surgery-tomorrow";"Kat719";41;7;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/36793-Husbands-surgery-tomorrow?p=227565#post227565";"02-21-2014, 10:23 PM"
"Hyper urination";"http://www.cancerforums.net/threads/21950-Hyper-urination";"sgtt";4;2;"sgtt";"http://www.cancerforums.net/members/29827-sgtt";"http://www.cancerforums.net/threads/21950-Hyper-urination?p=122479#post122479";"03-05-2012, 01:17 PM"
"Hyperthermia ????";"http://www.cancerforums.net/threads/38448-Hyperthermia";"paulnz";2;1;"CPO2CWO";"http://www.cancerforums.net/members/107627-CPO2CWO";"http://www.cancerforums.net/threads/38448-Hyperthermia?p=238178#post238178";"05-07-2014, 10:55 PM"
"Hypothermic Robotic Prostatectomy - DaVinci Cooling Enhanced";"http://www.cancerforums.net/threads/18901-Hypothermic-Robotic-Prostatectomy-DaVinci-Cooling-Enhanced";"kmr";0;1;"kmr";"http://www.cancerforums.net/members/26390-kmr";"http://www.cancerforums.net/threads/18901-Hypothermic-Robotic-Prostatectomy-DaVinci-Cooling-Enhanced?p=100576#post100576";"09-11-2011, 08:22 PM"
"I absolutely Hate this";"http://www.cancerforums.net/threads/34558-I-absolutely-Hate-this";"Bravehardon";14;2;"Bravehardon";"http://www.cancerforums.net/members/106840-Bravehardon";"http://www.cancerforums.net/threads/34558-I-absolutely-Hate-this?p=211694#post211694";"10-29-2013, 05:53 PM"
"I am 34 years old with hi psa 4.4 please help with advise";"http://www.cancerforums.net/threads/47754-I-am-34-years-old-with-hi-psa-4-4-please-help-with-advise";"dimavvs";6;1;"Fairwind";"http://www.cancerforums.net/members/20405-Fairwind";"http://www.cancerforums.net/threads/47754-I-am-34-years-old-with-hi-psa-4-4-please-help-with-advise?p=307497#post307497";"04-21-2016, 03:32 AM"
"I am a wife whose husband has just been diagnosed";"http://www.cancerforums.net/threads/37323-I-am-a-wife-whose-husband-has-just-been-diagnosed";"d5holmes";39;11;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/37323-I-am-a-wife-whose-husband-has-just-been-diagnosed?p=234701#post234701";"04-11-2014, 08:17 AM"
"I am new and have questions";"http://www.cancerforums.net/threads/17857-I-am-new-and-have-questions";"granny";14;5;"granny";"http://www.cancerforums.net/members/25263-granny";"http://www.cancerforums.net/threads/17857-I-am-new-and-have-questions?p=98059#post98059";"08-17-2011, 11:11 AM"
"I am new at this";"http://www.cancerforums.net/threads/8327-I-am-new-at-this";"ADP";57;17;"BudO";"http://www.cancerforums.net/members/15200-BudO";"http://www.cancerforums.net/threads/8327-I-am-new-at-this?p=43533#post43533";"02-26-2009, 06:41 PM"
"I am now Prostate free :)";"http://www.cancerforums.net/threads/41561-I-am-now-Prostate-free-)";"lzicc";10;2;"HighlanderCFH";"http://www.cancerforums.net/members/27612-HighlanderCFH";"http://www.cancerforums.net/threads/41561-I-am-now-Prostate-free-)?p=258654#post258654";"11-07-2014, 12:24 AM"
"I am Part of the Zero Club";"http://www.cancerforums.net/threads/36250-I-am-Part-of-the-Zero-Club";"PeterG";5;1;"FeatherBoy";"http://www.cancerforums.net/members/48062-FeatherBoy";"http://www.cancerforums.net/threads/36250-I-am-Part-of-the-Zero-Club?p=222657#post222657";"01-16-2014, 08:47 PM"
"I am sorry I wasn't sure the best place to post this question.";"http://www.cancerforums.net/threads/31899-I-am-sorry-I-wasn-t-sure-the-best-place-to-post-this-question";"Friendly";5;1;"Friendly";"http://www.cancerforums.net/members/104117-Friendly";"http://www.cancerforums.net/threads/31899-I-am-sorry-I-wasn-t-sure-the-best-place-to-post-this-question?p=191496#post191496";"06-15-2013, 04:01 PM"
"I am worried about Biopsy and prostate cancer";"http://www.cancerforums.net/threads/45073-I-am-worried-about-Biopsy-and-prostate-cancer";"adambedford";4;1;"Fairwind";"http://www.cancerforums.net/members/20405-Fairwind";"http://www.cancerforums.net/threads/45073-I-am-worried-about-Biopsy-and-prostate-cancer?p=286754#post286754";"08-02-2015, 02:59 PM"
"I am worried about these results from final prostate surg/path report:";"http://www.cancerforums.net/threads/41445-I-am-worried-about-these-results-from-final-prostate-surg-path-report";"Deb";8;2;"newporter";"http://www.cancerforums.net/members/21257-newporter";"http://www.cancerforums.net/threads/41445-I-am-worried-about-these-results-from-final-prostate-surg-path-report?p=257667#post257667";"10-29-2014, 11:04 PM"
"I Can *FEEL* The Provenge Working.....I think!";"http://www.cancerforums.net/threads/18692-I-Can-*FEEL*-The-Provenge-Working-I-think!";"sequoiaranger";20;11;"Fairwind";"http://www.cancerforums.net/members/20405-Fairwind";"http://www.cancerforums.net/threads/18692-I-Can-*FEEL*-The-Provenge-Working-I-think!?p=116601#post116601";"01-19-2012, 11:17 PM"
"I can now sleep";"http://www.cancerforums.net/threads/48756-I-can-now-sleep";"Bravehardon";13;1;"Michael F";"http://www.cancerforums.net/members/109130-Michael-F";"http://www.cancerforums.net/threads/48756-I-can-now-sleep?p=316505#post316505";"08-27-2016, 01:47 AM"
"I don't like this club!!";"http://www.cancerforums.net/threads/45038-I-don-t-like-this-club!!";"HoosierRef";6;1;"Michael F";"http://www.cancerforums.net/members/109130-Michael-F";"http://www.cancerforums.net/threads/45038-I-don-t-like-this-club!!?p=286467#post286467";"07-30-2015, 02:16 AM"
